,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일,구,면적
446904,2024-04-17,945,3,580,상계6·7동,상계2동,수,,
134525,2024-04-16,535,12,2063,화곡본동,화곡6동,화,강서구,0.98
338604,2024-04-16,2135,235,40634,천호2동,풍납1동,화,강동구,1.57
540542,2024-04-17,1655,7,1111,망우본동,신내1동,수,중랑구,3.03
887726,2024-04-18,1745,17,2921,구로3동,신대방2동,목,구로구,1.02
1416359,2024-04-20,1215,4,801,오류2동,오류2동,토,구로구,3.20
683570,2024-04-17,2345,3,830,영등포본동,영등포본동,수,영등포구,1.02
494831,2024-04-17,1350,4,955,가양1동,가양1동,수,강서구,4.70
147413,2024-04-16,845,3,620,신길3동,신길6동,화,영등포구,0.52
905703,2024-04-18,1815,10,1163,신정6동,신정6동,목,양천구,0.96
983729,2024-04-18,2125,10,1722,신정6동,신도림동,목,양천구,0.96
1401611,2024-04-20,910,2,0,한강로동,한강로동,토,용산구,2.90
1556733,2024-04-21,1535,144,8959,보문동,가회동,일,성북구,0.56
205033,2024-04-16,1505,6,849,목4동,목4동,화,양천구,0.57
