,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
1059998,2024-04-19,750,19,3580,서초1동,내곡동,금
503741,2024-04-17,1430,40,3615,서초3동,반포3동,수
327718,2024-04-16,2055,55,10031,서초2동,석촌동,화
1589952,2024-04-21,1715,32,5310,서초4동,방배4동,일
377204,2024-04-17,440,140,28078,서초1동,상계8동,수
339868,2024-04-16,2140,4,650,서초3동,서초3동,화
257744,2024-04-16,1755,55,11085,서초3동,수서동,화
1454903,2024-04-21,615,81,679,서초4동,서초1동,일
66722,2024-04-15,1810,6,1258,서초1동,서초2동,월
372688,2024-04-17,200,9,930,서초4동,반포1동,수
801440,2024-04-18,1220,15,1600,서초2동,,목
1445965,2024-04-21,145,2,450,서초4동,서초4동,일
1063184,2024-04-19,800,6,1188,서초3동,서초2동,금
49644,2024-04-15,930,4,1080,서초1동,서초2동,월
322814,2024-04-16,2035,117,660,서초2동,당산2동,화
453878,2024-04-17,1020,8,1240,서초2동,서초2동,수
781794,2024-04-18,1035,2,620,서초4동,서초4동,목
1236336,2024-04-19,1755,16,2618,서초3동,서초2동,금
1275280,2024-04-19,1900,20,3596,서초2동,방배4동,금
1145272,2024-04-19,1255,13,1940,서초2동,서초2동,금
301756,2024-04-16,1925,19,3827,서초3동,양재2동,화
696445,2024-04-18,255,14,2480,서초1동,역삼1동,목
250061,2024-04-16,1740,14,2502,서초3동,방배4동,화
969510,2024-04-18,2040,24,2755,서초1동,역삼1동,목
1278334,2024-04-19,1905,26,4270,서초2동,방배2동,금
1127974,2024-04-19,1140,9,823,서초1동,서초1동,금
1217063,2024-04-19,1710,4,554,서초4동,서초4동,금
1332267,2024-04-19,2155,8,800,서초4동,서초4동,금
660322,2024-04-17,2150,8,1620,서초1동,역삼1동,수
733507,2024-04-18,805,6,300,서초1동,서초1동,목
1359856,2024-04-20,10,3,920,서초4동,서초4동,토
1620559,2024-04-21,1855,5,960,서초2동,서초2동,일
787230,2024-04-18,1105,49,4300,서초2동,양재1동,목
188089,2024-04-16,1335,46,5346,서초2동,사당3동,화
1167188,2024-04-19,1430,47,1468,서초4동,역삼1동,금
834187,2024-04-18,1500,9,854,서초2동,서초2동,목
1152214,2024-04-19,1325,32,2243,서초4동,서초4동,금
529370,2024-04-17,1620,6,88,서초3동,서초3동,수
133858,2024-04-16,515,10,1740,서초2동,양재1동,화
1221661,2024-04-19,1725,10,914,서초2동,서초2동,금
933788,2024-04-18,1905,11,1880,서초2동,서초2동,목
431323,2024-04-17,850,3,498,서초4동,서초4동,수
265599,2024-04-16,1810,2,473,서초3동,서초3동,화
1467188,2024-04-21,905,29,3837,서초3동,방배4동,일
79503,2024-04-15,1910,10,1581,서초4동,논현1동,월
1621190,2024-04-21,1900,7,790,서초3동,서초4동,일
104536,2024-04-15,2135,35,4706,서초2동,내곡동,월
1281870,2024-04-19,1910,80,18640,서초3동,수색동,금
74598,2024-04-15,1845,6,1220,서초2동,서초1동,월
1134831,2024-04-19,1210,6,1160,서초2동,서초4동,금
1156487,2024-04-19,1345,55,4313,서초2동,반포1동,금
1278828,2024-04-19,1905,29,5524,서초4동,방배1동,금
917447,2024-04-18,1835,32,2659,서초3동,양재1동,목
282526,2024-04-16,1840,7,879,서초4동,반포1동,화
529247,2024-04-17,1615,85,3120,서초3동,역삼1동,수
578023,2024-04-17,1815,6,622,서초2동,서초2동,수
692544,2024-04-18,135,1,142,서초2동,서초2동,목
1135411,2024-04-19,1215,48,5811,서초2동,사당3동,금
451824,2024-04-17,1010,8,1240,서초2동,서초2동,수
1458310,2024-04-21,735,5,759,서초2동,역삼1동,일
386313,2024-04-17,650,4,493,서초4동,서초4동,수
1651795,2024-04-21,2110,12,1338,서초1동,서초3동,일
1470416,2024-04-21,935,35,4140,서초3동,양재2동,일
894433,2024-04-18,1800,50,3060,서초2동,방배4동,목
1081506,2024-04-19,835,9,1419,서초2동,서초2동,금
286118,2024-04-16,1845,6,746,서초2동,서초1동,화
1481420,2024-04-21,1040,8,1532,서초2동,양재2동,일
4907,2024-04-15,100,25,4978,서초4동,대치2동,월
916330,2024-04-18,1835,102,15029,서초1동,장안1동,목
264564,2024-04-16,1810,9,1246,서초1동,반포1동,화
272208,2024-04-16,1820,11,1659,서초2동,서초1동,화
596997,2024-04-17,1845,5,1080,서초2동,서초1동,수
1112469,2024-04-19,1020,11,1797,서초1동,서초2동,금
542825,2024-04-17,1700,20,1889,서초2동,서초4동,수
255856,2024-04-16,1750,4,531,서초3동,서초3동,화
274549,2024-04-16,1825,11,1770,서초2동,양재2동,화
680429,2024-04-17,2320,6,1318,서초4동,반포1동,수
1534946,2024-04-21,1420,197,9549,서초2동,반포1동,일
849381,2024-04-18,1605,21,2502,서초2동,서초1동,목
439167,2024-04-17,915,4,789,서초3동,서초3동,수
960718,2024-04-18,2015,24,2755,서초1동,역삼1동,목
657574,2024-04-17,2140,9,1686,서초2동,양재1동,수
1466309,2024-04-21,900,8,1030,서초3동,서초3동,일
38,2024-04-15,0,23,2772,서초1동,역삼2동,월
476333,2024-04-17,1225,74,2076,서초4동,서초4동,수
490043,2024-04-17,1325,39,380,서초3동,서초3동,수
696942,2024-04-18,310,5,1210,서초3동,방배3동,목
98470,2024-04-15,2100,3,580,서초4동,서초4동,월
1322319,2024-04-19,2115,33,7050,서초4동,남현동,금
1255891,2024-04-19,1825,13,1343,서초2동,서초2동,금
548565,2024-04-17,1715,102,3552,서초2동,역삼1동,수
766296,2024-04-18,920,5,1067,서초1동,서초2동,목
759938,2024-04-18,855,8,1448,서초2동,서초4동,목
1334787,2024-04-19,2200,10,1742,서초3동,서초2동,금
1154508,2024-04-19,1335,6,776,서초2동,양재1동,금
1138713,2024-04-19,1230,30,3093,서초4동,서초3동,금
940869,2024-04-18,1920,38,5564,서초2동,사당3동,목
985566,2024-04-18,2135,30,5057,서초1동,개포1동,목
310547,2024-04-16,1950,11,1660,서초2동,서초3동,화
1107914,2024-04-19,955,39,2498,서초1동,서초4동,금
521171,2024-04-17,1550,21,1899,서초4동,서초2동,수
470250,2024-04-17,1155,50,1323,서초2동,서초2동,수
1571054,2024-04-21,1615,20,2595,서초2동,양재2동,일
1085725,2024-04-19,845,7,1550,서초1동,양재1동,금
241847,2024-04-16,1720,21,2660,서초1동,도곡2동,화
1250216,2024-04-19,1815,91,21789,서초3동,신내2동,금
1304391,2024-04-19,2015,11,1887,서초2동,양재2동,금
284790,2024-04-16,1845,13,1138,서초4동,서초3동,화
434955,2024-04-17,855,3,498,서초4동,서초4동,수
328374,2024-04-16,2055,30,4842,서초2동,방배본동,화
602382,2024-04-17,1855,62,14961,서초2동,망원1동,수
51828,2024-04-15,1200,4,417,서초2동,서초2동,월
157681,2024-04-16,1010,7,1200,서초4동,반포1동,화
1343524,2024-04-19,2230,22,3310,서초4동,논현1동,금
631921,2024-04-17,2010,23,4381,서초2동,반포4동,수
457587,2024-04-17,1045,9,1621,서초1동,서초2동,수
880308,2024-04-18,1730,6,717,서초2동,서초4동,목
523736,2024-04-17,1600,18,1452,서초4동,서초4동,수
1501551,2024-04-21,1220,12,2390,서초2동,서초3동,일
342486,2024-04-16,2150,5,137,서초1동,서초1동,화
1460326,2024-04-21,800,16,2470,서초2동,양재2동,일
202658,2024-04-16,1455,89,16128,서초3동,신정1동,화
176870,2024-04-16,1235,57,995,서초1동,서초1동,화
323483,2024-04-16,2040,52,3228,서초1동,서초2동,화
604228,2024-04-17,1900,8,1215,서초2동,서초2동,수
35857,2024-04-15,745,107,596,서초2동,서초2동,월
52233,2024-04-15,1210,21,1953,서초2동,반포1동,월
626530,2024-04-17,1955,13,2304,서초3동,양재2동,수
604942,2024-04-17,1900,31,3070,서초2동,서초3동,수
548531,2024-04-17,1715,5,862,서초1동,서초2동,수
