,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
301389,2024-04-16,1925,9,1194,신림동,신사동,화
1564593,2024-04-21,1555,116,6700,신림동,독산1동,일
190122,2024-04-16,1345,13,2040,신림동,신대방2동,화
369230,2024-04-17,105,9,1234,신림동,미성동,수
785236,2024-04-18,1055,4,288,신림동,은천동,목
1160213,2024-04-19,1400,20,1530,신림동,신사동,금
1504477,2024-04-21,1230,233,7124,신림동,신림동,일
1445111,2024-04-21,130,5,820,신림동,신사동,일
171698,2024-04-16,1200,26,3244,신림동,신대방1동,화
133039,2024-04-16,430,7,1098,신림동,신사동,화
1252515,2024-04-19,1820,11,1646,신림동,청룡동,금
413399,2024-04-17,815,9,2653,신림동,구로3동,수
1527589,2024-04-21,1355,85,7337,신림동,신림동,일
198493,2024-04-16,1435,19,2102,신림동,구로3동,화
1579011,2024-04-21,1640,51,9460,신림동,고척1동,일
781788,2024-04-18,1035,39,1224,신림동,,목
1456971,2024-04-21,705,10,1760,신림동,청룡동,일
1376658,2024-04-20,310,2,300,신림동,보라매동,토
804967,2024-04-18,1240,12,2783,신림동,구로3동,목
1432506,2024-04-20,2130,37,2473,신림동,보라매동,토
1495621,2024-04-21,1150,75,8486,신림동,대방동,일
1371909,2024-04-20,200,15,2835,신림동,구로3동,토
4555,2024-04-15,55,4,750,신림동,신사동,월
1096909,2024-04-19,910,19,1070,신림동,은천동,금
232378,2024-04-16,1650,55,7256,신림동,구로2동,화
1348400,2024-04-19,2255,58,4934,신림동,신림동,금
527038,2024-04-17,1610,47,7113,신림동,신림동,수
156811,2024-04-16,1000,53,5415,신림동,방배4동,화
1415833,2024-04-20,1205,24,1500,신림동,신림동,토
329455,2024-04-16,2100,82,4447,신림동,신림동,화
1370289,2024-04-20,140,8,743,신림동,신사동,토
647918,2024-04-17,2105,21,1509,신림동,신사동,수
634873,2024-04-17,2020,3,472,신림동,신사동,수
103434,2024-04-15,2125,22,3549,신림동,가리봉동,월
1357801,2024-04-19,2350,118,6804,신림동,신림동,금
1344695,2024-04-19,2235,3,750,신림동,신사동,금
660816,2024-04-17,2150,60,13633,신림동,신림동,수
1000616,2024-04-18,2220,11,1494,신림동,은천동,목
961366,2024-04-18,2015,164,35066,신림동,여의동,목
546416,2024-04-17,1710,29,830,신림동,구로2동,수
1654259,2024-04-21,2120,27,4062,신림동,은천동,일
660291,2024-04-17,2150,54,1628,신림동,신대방2동,수
1561989,2024-04-21,1550,20,848,신림동,신사동,일
1330830,2024-04-19,2150,75,4810,신림동,신림동,금
